say	intended	halved	margin	heard_in
irid nitgħallem il-malti.	irrid nitgħallem il-malti.	r	-0.2031	me_011.wav
grazi ħafna.	grazzi ħafna.	z	-0.1867	me_012.wav
irid nara tabib.	irrid nara tabib.	r	-0.1614	me_006.wav
nasal fis-sita.	nasal fis-sitta.	t	-0.0473	me_071.wav
in-nana tagħmel il-pastizzi.	in-nanna tagħmel il-pastizzi.	n	-0.0320	me_014.wav
ilum x'jum hu?	illum x'jum hu?	l	-0.0319	me_005.wav
kolox tajjeb ħafna, grazzi.	kollox tajjeb ħafna, grazzi.	l	-0.0290	me_004.wav
m'hem ħadd.	m'hemm ħadd.	m	-0.0240	me_039.wav
niringrazzjak.	nirringrazzjak.	r	-0.0229	me_073.wav
ġejt min għawdex.	ġejt minn għawdex.	n	-0.0091	me_010.wav
mingħajr zokor.	mingħajr zokkor.	k	-0.0026	me_016.wav
il-ħadd imorru l-baħar.	il-ħadd immorru l-baħar.	m	-0.0020	me_064.wav
ma ġejtx għax kont għajien.	ma ġejtx għax kont għajjien.	j	0.0008	me_027.wav
il-ħadd immoru l-baħar.	il-ħadd immorru l-baħar.	r	0.0009	me_064.wav
naħdem bilejl.	naħdem billejl.	l	0.0015	me_052.wav
oqgħod fuq is-siġu.	oqgħod fuq is-siġġu.	ġ	0.0016	me_044.wav
il-ħad immorru l-baħar.	il-ħadd immorru l-baħar.	d	0.0020	me_064.wav
magħluq il-ħad.	magħluq il-ħadd.	d	0.0066	me_019.wav
min qalbi.	minn qalbi.	n	0.0077	me_066.wav
kollox tajjeb ħafna, grazi.	kollox tajjeb ħafna, grazzi.	z	0.0078	me_004.wav
