say	intended	class	kind	detail	guide	meaning
il-baħar kalm ilum.	il-baħar kalm illum.	accept	geminate	geminate		The sea is calm today.
oqgod fuq is-siġġu.	oqgħod fuq is-siġġu.	accept	ghajn	ghajn		Sit on the chair.
ghandkom xi ħaġa oħra?	għandkom xi ħaġa oħra?	accept	hkbira	hkbira		Do you have anything else?
jin bil-ġuħ.	jien bil-ġuħ.	accept	ie	ie		I'm hungry.
tifel zgħir.	tifel żgħir.	accept	zeta	zeta		A little boy.
hi tgħis il-belt.	hi tgħix il-belt.	accept	xin	xin		She lives in Valletta.
eja hawn.	ejja hawn.	accept	geminate	geminate		Come here.
biljett wieħed, jekk jogġbok.	biljett wieħed, jekk jogħġbok.	accept	ghajn	ghajn		One ticket, please.
inqas mill-bierah.	inqas mill-bieraħ.	accept	hkbira	hkbira		Less than yesterday.
naqbel migħek.	naqbel miegħek.	accept	ie	ie		I agree with you.
zgur!	żgur!	accept	zeta	zeta		Sure!
m'għandis ħin.	m'għandix ħin.	accept	xin	xin		I don't have time.
le, grazi.	le, grazzi.	accept	geminate	geminate		No, thanks.
ginni, jekk jogħġbok!	għinni, jekk jogħġbok!	accept	ghajn	ghajn		Help me, please!
haxix frisk.	ħaxix frisk.	accept	hkbira	hkbira		Fresh vegetables.
niħu x-xarabank.	nieħu x-xarabank.	accept	ie	ie		I take the bus.
per ezempju.	per eżempju.	accept	zeta	zeta		For example.
s'ħin hu?	x'ħin hu?	accept	xin	xin		What time is it?
naħdem f'ufiċċju.	naħdem f'uffiċċju.	accept	geminate	geminate		I work in an office.
noqgod tas-sliema.	noqgħod tas-sliema.	accept	ghajn	ghajn	NO-'ood tas-SLEE-ma	I live in Sliema.
hemm hanut hemmhekk.	hemm ħanut hemmhekk.	accept	hkbira	hkbira		There's a shop over there.
hi s-sigħa.	hi s-siegħa.	accept	ie	ie		It's one o'clock.
minn liema pajjiz int?	minn liema pajjiż int?	accept	zeta	zeta		Which country are you from?
ma ġejts għax kont għajjien.	ma ġejtx għax kont għajjien.	accept	xin	xin		I didn't come because I was tired.
jek trid, nista' ngħinek.	jekk trid, nista' ngħinek.	accept	geminate	geminate		If you want, I can help you.
uġig ta' stonku.	uġigħ ta' stonku.	accept	ghajn	ghajn		A stomach ache.
trid tipprattika mieghi?	trid tipprattika miegħi?	accept	hkbira	hkbira		Do you want to practise with me?
ilma kisaħ.	ilma kiesaħ.	accept	ie	ie		Cold water.
skuzi, fejn hu s-suq?	skużi, fejn hu s-suq?	accept	zeta	zeta		Excuse me, where is the market?
għosrin sena.	għoxrin sena.	accept	xin	xin		Twenty years.
inħosni għajjien.	inħossni għajjien.	accept	geminate	geminate		I feel tired.
nagmel il-baħar kuljum.	nagħmel il-baħar kuljum.	accept	ghajn	ghajn		I swim every day.
nahseb li iva.	naħseb li iva.	accept	hkbira	hkbira		I think so.
erbgħa min-nis.	erbgħa min-nies.	accept	ie	ie		Four people.
għandi zewġt itfal.	għandi żewġt itfal.	accept	zeta	zeta		I have two children.
irrid niġi, imma ma nistas.	irrid niġi, imma ma nistax.	accept	xin	xin	ir-REED NEE-jee, IM-ma ma nis-TASH	I want to come, but I can't.
mur drit.	mur dritt.	accept	geminate	geminate		Go straight.
ilbieraħ kont gajjien.	ilbieraħ kont għajjien.	accept	ghajn	ghajn		Yesterday I was tired.
nista' nhallas bil-karta?	nista' nħallas bil-karta?	accept	hkbira	hkbira		Can I pay by card?
fis-sigħa.	fis-siegħa.	accept	ie	ie		At one o'clock.
għamilt zball?	għamilt żball?	accept	zeta	zeta		Did I make a mistake?
nisrob l-ilma.	nixrob l-ilma.	accept	xin	xin		I drink water.
nibgħatlek messaġ.	nibgħatlek messaġġ.	accept	geminate	geminate		I'll send you a message.
ma ġejtx gax kont għajjien.	ma ġejtx għax kont għajjien.	accept	ghajn	ghajn		I didn't come because I was tired.
niġi mieghek.	niġi miegħek.	accept	hkbira	hkbira		I'll come with you.
nixtiq inkun naf kif.	nixtieq inkun naf kif.	accept	ie	ie		I'd like to know how.
skuzani.	skużani.	accept	zeta	zeta		Excuse me / Sorry.
ma nsibhies.	ma nsibhiex.	accept	xin	xin		I can't find it (f).
