# Maltese frequency list derived from Maltese Wikipedia (CC BY-SA) + Tatoeba (CC BY 2.0 FR).
# Ranks are of folded forms (diacritics normalised), so `ġo` and `go` are one.
rank	word	count
1	ta	243658
2	tal	236729
3	li	143477
4	fl	78929
5	fil	66688
6	mill	54202
7	ziri	45148
8	minn	45025
9	kien	43103
10	ma	35070
11	all	33742
12	huwa	31854
13	fuq	31623
14	bhala	31276
15	kategorija	27750
16	al	27474
17	hija	24439
18	tas	23913
19	jew	22640
20	tieu	22444
21	biex	21241
22	the	21130
23	belt	20994
24	kienet	20028
25	wara	19844
26	tat	19328
27	dan	18856
28	kienu	18368
29	huma	18137
30	ewwel	16756
31	of	16446
32	bil	15210
33	hemm	15189
34	fis	14824
35	fit	13711
36	lil	13664
37	ukoll	13531
38	mal	13345
39	color	13297
40	jrid	13265
41	shortname	12844
42	de	12829
43	abbrev	12802
44	snin	12720
45	aktar	12704
46	tad	12633
47	sena	12538
48	ohra	12437
49	meta	12347
50	tar	12182
51	gie	12169
52	fi	11906
53	taha	11565
54	fejn	11536
55	iktar	11510
56	seklu	11477
57	din	11474
58	bl	11260
59	kif	10993
60	bejn	10904
61	xi	10834
62	wiehed	10747
63	hafna	10678
64	jpg	10626
65	and	10299
66	sit	10134
67	nazzjonali	9840
68	hu	9784
69	madwar	9685
70	lejn	9557
71	matul	9401
72	zewg	8999
73	izda	8959
74	tahom	8915
75	wkoll	8914
76	dawn	8869
77	giet	8838
78	zmien	8770
79	fid	8738
80	jista	8542
81	wirt	8323
82	malta	8302
83	tan	8251
84	gew	8189
85	lill	7976
86	party	7957
87	klabb	7956
88	ahhar	7943
89	rima	7891
90	dinja	7836
91	dinji	7790
92	kbira	7470
93	file	7434
94	san	7429
95	siti	7418
96	kollha	7394
97	tax	7359
98	taht	6992
99	qabel	6970
100	kull	6898
101	sal	6891
102	to	6854
103	parti	6851
104	dejjem	6802
105	sa	6634
106	post	6595
107	dak	6567
108	biss	6532
109	mhux	6531
110	la	6504
111	isem	6400
112	wahda	6395
113	pajjiz	6391
114	minhabba	6359
115	tim	6298
116	kontra	6192
117	dwar	6159
118	knisja	6134
119	fir	6054
120	art	6053
121	tieni	6022
122	zona	5881
123	diversi	5874
124	end	5719
125	if	5695
126	at	5675
127	tramuntana	5584
128	gzira	5580
129	park	5579
130	for	5540
131	unesco	5462
132	nofsinhar	5457
133	tliet	5456
134	qed	5447
135	skont	5441
136	nies	5308
137	bhal	5302
138	popolazzjoni	5295
139	sar	5245
140	xool	5198
141	gdid	5138
142	gwerra	5130
143	punent	5114
144	lvant	5111
145	centru	5057
146	local	5038
147	gvern	4900
148	andha	4837
149	bi	4756
150	bahar	4745
151	istess	4725
152	ftit	4719
153	flimkien	4716
154	se	4657
155	futbol	4619
156	kulturali	4612
157	hi	4575
158	marufa	4572
159	fost	4516
160	then	4499
161	importanti	4486
162	barra	4426
163	bosta	4393
164	new	4384
165	permezz	4383
166	kellu	4362
167	hekk	4358
168	ilma	4297
169	stampa	4268
170	bmod	4263
171	regjun	4250
172	andu	4198
173	fin	4196
174	dar	4194
175	min	4163
176	filwaqt	4140
177	gzejjer	4139
178	kbir	4116
179	tul	4110
180	saret	4103
181	bidu	4068
182	perjodu	4034
183	mit	4022
184	uniti	4009
185	dawk	4003
186	as	3979
187	malti	3976
188	kapitali	3962
189	mis	3937
190	maruf	3931
191	xmara	3921
192	mar	3920
193	izjed	3866
194	naha	3845
195	mil	3842
196	tabib	3827
197	taz	3818
198	naturali	3798
199	data	3788
200	qrib	3777
201	istati	3770
202	alkemm	3745
203	familja	3742
204	tac	3730
205	bicca	3681
206	kemm	3680
207	gowls	3671
208	jigu	3665
209	jekk	3664
210	name	3655
211	internazzjonali	3635
212	tinsab	3628
213	ar	3618
214	arti	3605
215	renju	3603
216	universita	3596
217	grupp	3595
218	lura	3577
219	jinsab	3551
220	darba	3509
221	or	3473
222	an	3455
223	tazza	3448
224	iehor	3438
225	re	3431
226	km	3422
227	lingwa	3410
228	beda	3393
229	jigi	3390
230	madankollu	3375
231	metru	3368
232	erba	3328
233	istorja	3316
234	akbar	3242
235	mod	3232
236	quddiem	3209
237	lokali	3171
238	partit	3150
239	sistema	3150
240	linja	3149
241	ikun	3139
242	hajja	3106
243	bhekk	3103
244	inqas	3096
245	plejers	3088
246	label	3080
247	centrali	3071
248	kellha	3050
249	ad	3041
250	fih	3040
251	on	3037
252	andhom	3032
253	return	3001
254	istagun	2998
255	lista	2996
256	tkun	2984
257	ordni	2983
258	ingliz	2979
259	repubblika	2962
260	numru	2961
261	principali	2940
262	differenti	2931
263	triq	2931
264	ufficjali	2924
265	issa	2920
266	tigi	2916
267	bliet	2915
268	pajjizi	2910
269	generali	2902
270	nofs	2888
271	ikbar	2875
272	holqa	2874
273	president	2869
274	kwazi	2840
275	kbar	2829
276	jkun	2815
277	ewropa	2801
278	minnhom	2788
279	dik	2783
280	waqt	2771
281	date	2764
282	sabiex	2733
283	text	2730
284	mir	2705
285	speci	2694
286	inkluz	2691
287	ola	2685
288	bit	2675
289	wahdu	2651
290	miljun	2639
291	pprova	2638
292	kellhom	2632
293	franza	2628
294	args	2626
295	palazz	2620
296	league	2620
297	tempju	2608
298	fc	2607
299	kostruzzjoni	2601
300	di	2594
301	olja	2589
302	unit	2574
303	rahal	2556
304	this	2530
305	le	2528
306	muzew	2526
307	bhall	2515
308	bini	2511
309	minajr	2500
310	jien	2500
311	add	2498
312	billi	2492
313	ii	2486
314	imma	2484
315	kosta	2479
316	ktieb	2478
317	united	2478
318	fix	2473
319	ebda	2449
320	hames	2448
321	zar	2447
322	italja	2446
323	jistu	2444
324	twieled	2443
325	fiha	2438
326	uzu	2421
327	peress	2390
328	from	2388
329	mid	2381
330	gdida	2366
331	saru	2352
332	gewwa	2347
333	jaf	2339
334	kriterju	2338
335	kultura	2331
336	imperu	2319
337	jinkludu	2305
338	franciz	2301
339	istat	2293
340	kampjonat	2276
341	fic	2268
342	club	2257
343	rega	2256
344	mejju	2255
345	link	2249
346	ohrajn	2237
347	tisfel	2235
348	maltin	2225
349	fosthom	2225
350	flag	2225
351	minkejja	2223
352	tielet	2218
353	livell	2210
354	twieldu	2203
355	rizultat	2203
356	fdalijiet	2193
357	bdiet	2191
358	muntanji	2191
359	not	2186
360	kilometru	2185
361	hdan	2185
362	jinsabu	2182
363	loba	2179
364	qatt	2177
365	gunju	2174
366	gebel	2160
367	lulju	2154
368	be	2151
369	finali	2140
370	ruh	2136
371	xolijiet	2122
372	militari	2116
373	plejer	2115
374	straordinarju	2114
375	ha	2113
376	sinifikanti	2113
377	germanja	2104
378	port	2098
379	baqa	2087
380	aqwa	2085
381	tajjeb	2083
382	spanja	2083
383	lit	2083
384	marzu	2082
385	miet	2073
386	with	2071
387	membru	2067
388	rindirizza	2062
389	en	2056
390	ewlenin	2051
391	amel	2050
392	democratic	2036
393	settembru	2035
394	ax	2030
395	svg	2028
396	politika	2026
397	iskola	2024
398	muzika	2017
399	alla	2015
400	ministru	2013
401	generu	2011
402	bniedem	2001
403	frar	2000
404	tista	1999
405	xaktarx	1994
406	tip	1994
407	hin	1986
408	per	1981
409	jhobb	1969
410	you	1968
411	isbn	1963
412	tnejn	1953
413	arkitettura	1946
414	zoni	1945
415	sahha	1941
416	bis	1936
417	membri	1935
418	grawnd	1935
419	popolari	1934
420	pied	1932
421	komuni	1930
422	kowc	1928
423	jannar	1921
424	binjiet	1920
425	dinjija	1911
426	hawn	1909
427	stess	1903
428	adu	1903
429	godda	1898
430	binja	1893
431	april	1888
432	izvilupp	1886
433	nbsp	1881
434	jidher	1880
435	ewropej	1875
436	gurnata	1873
437	paul	1868
438	dicembru	1858
439	ottubru	1856
440	edukazzjoni	1854
441	function	1852
442	santa	1850
443	spiss	1845
444	afrika	1837
445	kap	1837
446	awwissu	1835
447	divizjoni	1831
448	jum	1828
449	valur	1826
450	lingwi	1824
451	milli	1819
452	jorqod	1819
453	katidral	1817
454	alhekk	1816
455	aliex	1812
456	torri	1812
457	mat	1810
458	national	1809
459	tom	1809
460	taljan	1800
461	fiz	1800
462	tard	1800
463	unika	1797
464	true	1794
465	amerika	1792
466	jamel	1791
467	kunsill	1790
468	ezempju	1787
469	jixu	1786
470	alias	1786
471	blat	1779
472	bdew	1776
473	titlu	1771
474	annimali	1767
475	novembru	1762
476	table	1758
477	cina	1755
478	gruppi	1753
479	kollu	1749
480	rwol	1748
481	inhawi	1747
482	habta	1746
483	do	1746
484	foresti	1745
485	mbaad	1742
486	territorju	1735
487	wied	1733
488	el	1733
489	provincja	1731
490	del	1727
491	lag	1723
492	ewropea	1719
493	kelma	1716
494	sab	1716
495	illum	1715
496	distrett	1708
497	unjoni	1707
498	nisa	1698
499	papa	1674
500	kamra	1668
501	kollox	1662
502	storiku	1657
503	list	1655
504	dahla	1649
505	rapport	1643
506	mewt	1643
507	oli	1639
508	armata	1635
509	injam	1634
510	imbaad	1633
511	attwali	1632
512	punt	1630
513	jara	1626
514	kumpless	1623
515	toroq	1622
516	socjali	1617
517	sitt	1616
518	azla	1601
519	that	1598
520	wiki	1589
521	originali	1587
522	bir	1585
523	sekli	1580
524	xemx	1580
525	twelid	1579
526	hemmhekk	1575
527	stabbilit	1568
528	mietu	1567
529	rd	1567
