mt	say
Bonġu!	BON-joo
Noqgħod Tas-Sliema.	NO-'ood tas-SLEE-ma
Xi tfisser din il-kelma?	shee TFIS-ser deen il-KEL-ma
Kollox tajjeb ħafna, grazzi.	KOL-losh TAI-yeb HAF-na, GRAT-tsee
Illum x'jum hu?	il-LOOM sh'YOOM oo
Irrid nara tabib.	ir-REED NA-ra ta-BEEB
Ma jogħġobnix.	ma yoh-JOB-neesh
Tinkwetax.	tin-kwe-TASH
Irrid niġi, imma ma nistax.	ir-REED NEE-jee, IM-ma ma nis-TASH
Ġejt minn Għawdex.	jayt min AA-wdesh
Irrid nitgħallem il-Malti.	ir-REED nit-AL-lem il-MAL-tee
Grazzi ħafna.	GRAT-tsee HAF-na
Trid xi ħaġa?	treed shee HA-ja
In-nanna tagħmel il-pastizzi.	in-NAN-na TAA-mel il-pas-TIT-tsee
Fejn hu l-isptar?	fayn oo lis-PTAR
Mingħajr zokkor.	min-AAYR TSOK-kor
Nixtri l-ħobż.	NEESH-tree l-HOBZ
Nqum fis-sitta.	n'OOM fis-SIT-ta
Magħluq il-Ħadd.	ma-LOO' il-HADD
Għaxar ewro.	AA-shar EU-ro
Hemm spiżerija hawn qrib?	emm spee-ze-REE-ya awn 'REEB
Għodwa t-tajba.	OOD-wa t-TAI-ba
Noħroġ mal-ħbieb.	NOH-roj mal-HBEE-eb
X'inhu l-prezz?	shee-NOO l-PRETS
Dur lejn ix-xellug.	door layn ish-SHEL-loog
